link,title,location,salary,company,summary  
https://kr.indeed.com/jobs?q=python&vjk=69ab0f58743cb713,21년 전문연구요원 (AI엔지니어),성남 분당구,,Nexon,"대상자 - 병역의무가 없거나 면제된 분, 병역의 의무를 마치신 분은 본 공고의 대상에서 제외됨 - Python에 숙련된 프로그래밍 능력과 머신러닝 라이브러리 활용 경험 - 머신러닝과 강화학습에 관련된 지식 습득 혹은..."
https://kr.indeed.com/jobs?q=python&vjk=7e9a745cd8bdcbe3,"Design Consultant, Staff",대한민국,,Synopsys,"industry DFT, MBIST, and ATPG tools •Experience scripting... Python and Tcl. Experience with Verilog or SystemVerilog RTL..."
https://kr.indeed.com/jobs?q=python&vjk=a4ade495ab488c6f,사물인터넷(IoT) 개발자 (하드웨어 및 소프트웨어),경기도 파주,,큐빅스,통신·모바일·게임>시스템프로그래머>임베디드(Embedded)|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머>자바스크...
https://kr.indeed.com/jobs?q=python&vjk=4ac4e8a20b8c6dec,"데이터 분석 솔루션 기반 웹프로그래머(Java, JSP, Python,...",서울 송파구,,비즈플러그,"하여, Java, JSP, R, Python, 각종 DB 가능자를 우대합니... 합니다. - DW등의 설계 경력자 우대합니다. - AI(ML, DL, Python, R 등)에 유능한 분을 우대합니다. 인터넷·IT·통신·모바일·게임..."
https://kr.indeed.com/jobs?q=python&vjk=5c7ce2a8bacecf7d,(광주취업맛집1위)2021년도 국비 기술교육생,광주 광산구,,대한상공회의소 광주인력개발원,통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터...
https://kr.indeed.com/jobs?q=python&vjk=a4e8e1be8cfd92f4,데이터분석팀 일반연구원(계약직) 채용,서울 필동,,동국대학교,"자 4) 남자의 경우 병역필 또는 면제자 5) 한글, MS OFFICE 등 기본 문서작업 가능자 6) Python, R 프로그래밍 언어 사용 가능자 우대 2. 모집인원 : 0명 3. 근무조건 및 계약기간 구 분..."
https://kr.indeed.com/jobs?q=python&vjk=74b3d3c938870be2,Data Scientist,서울,,Motion2AI,"thinking to define unstructured problems - Experience with Python (pandas, numpy), R, SQL... VBA to deal... large..."
https://kr.indeed.com/jobs?q=python&vjk=cd40cf786e32f325,사내 및 서비스 보안 담당자 (경력),대한민국,,네오위즈,"GuardDuty, WAF, VPC Flow Logs 분석 등)이 있으신 분 - 각종 스크립트 언어(Perl, Python, shell script 등)의 활용 능력을 가진 분 - 모바일 게임 앱에 대한 보안 검수 경험이..."
https://kr.indeed.com/jobs?q=python&vjk=4bd70fb8a220d90d,[Janssen] Data Scientist,서울,,Johnson & Johnson Family of Companies,"Expertise in one or more programming languages... R, Python or SAS. 7. Knowledge of relational database architecture..."
https://kr.indeed.com/jobs?q=python&vjk=71c47ac87bb4087e,기술 인턴 인공지능 응용 연구/개발 인턴,서울 관악구,,써로마인드로보틱스,"6개월) (협의) *모집 절차: 서류 à인터뷰(오프라인) *지원 자격: 프로그래밍 언어 활용 능력: Python, C, C++ 중 1가지 이상 데이터구조, 알고리즘 과목 이수 머신러닝과 딥러닝의 기본 개념 이해 머신러닝..."
https://kr.indeed.com/jobs?q=python&vjk=50d45047905b6954,Data Scientist 경력인재 - 글로벌 우량대기업,서울,,에스에프인촌,업무 유경험자 (1) 데이터 분석/모델링 수행업무 유경험자 - R/ Python/SAS 등의 분석 Tool을 활용하여 정형/비정형 데이터 분석 수행... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임...
https://kr.indeed.com/jobs?q=python&vjk=78f5465432356e17,Sr Systems Administrator I,대한민국,,Raytheon Intelligence & Space,"Experience with Linux/Unix scripting, C++, Java, Perl, Python, Sybase... SQL. - Experience with Linux/Unix tools, YUM..."
https://kr.indeed.com/jobs?q=python&vjk=fd0194167a01fed0,지능형자동차부품진흥원 인력,대구 달성군,,지능형자동차부품진흥원,통신·모바일·게임>빅데이터·AI(인공지능)>딥러닝|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>무인 자동차 엔지니어|전자·기계·기술·화학·연구개발...
https://kr.indeed.com/jobs?q=python&vjk=b6f60e1ac5501c9c,Software Engineer - AI,경기도 성남,,GE Appliances,"lite, TensorRT. 5+ years of programming experience in Python, C/C++ Experiences working on deep learning model optimization..."
https://kr.indeed.com/jobs?q=python&vjk=4adac8923476d038,프랭클린템플턴투신운용 Junior Trader (Quant base 필수...,대한민국,,프랭클린템플턴투신,"object-oriented programming and intermediate programming proficiency in Python, R or MATLAB, and SQL are essential. Licenses..."
https://kr.indeed.com/jobs?q=python&vjk=54e0d08c99dcf507,MI(Market Intelligence)담당 마케팅 전략 경력사원,서울 영등포구,,LG전자,"마케팅 전략/방향성 도출 경험 보유 4) 우대 사항 - 통계 분석 및 프로그래밍 언어 역량 보유: R, python, Java, SPSS, Tableau, etc. - 영어 능통 역량: 해외법인과 영어 화상 회의 및 현지..."
https://kr.indeed.com/jobs?q=python&vjk=22880c1154a12433,"[각 분야별] Java, MySQL, Python 외 정규직",성남 중원구,,로제타텍,"지원자격 경력 신입·경력 학력 대학교졸업(4년) 성별 무관 기타 담당업무 [각 분야별] Java, MySQL, Python 외 정규직 채용 커리어 양식 지원 상세모집요강 접수기간/방법 시작일 2021.2.8 (월) 마감일..."
